rating 0 = Not Ableist
rating 100 = Very Ableist

'Abiliphile', rating: 80
'Chronoablility', rating: 40
'Chronoablism', rating: 40
'Chronocept', rating: 50
'Chronoceptic', rating: 30
'Chronoception', rating: 60
'Chronoceptionist', rating: 40
'Chronoceptive', rating: 40
'Chronoceptivism', rating: 40
'Chronoceptual', rating: 60
'Chronoexclusionist', rating: 60
'Chronoexclusivity', rating: 40
'Chronoism', rating: 80
'Chronoist', rating: 40
'Chronoistic', rating: 60
'Chronoquake', rating: 5
'Cisnormative', rating: 90
'Cripitite', rating: 60
'Cripitize', rating: 90
'Cripnostic', rating: 80
'Cripolitik', rating: 80
'Cripplio', rating: 90
'Cripplism', rating: 80
'Cripplismo', rating: 90
'Cripplistic', rating: 80
'Cripptastic', rating: 40
'Cripptic', rating: 30
'Crippticity', rating: 80
'Cripstorian', rating: 90
'Cripvoke', rating: 80
'Crunchlepunk', rating: 25
'Differently', rating: 40
'Disabilizard', rating: 40
'Disabilux', rating: 80
'Disableatron', rating: 90
'Disableism', rating: 90
'Disableist', rating: 90
'Disablement', rating: 70
'Disableon', rating: 90
'Disabletor', rating: 40
'Disabletron', rating: 60
'Disablexify', rating: 90
'Disablisnax', rating: 90
'Discrimination', rating: 95
'Discriminatorix', rating: 60
'Discriminax', rating: 70
'Discriminaxis', rating: 60
'Dysania', rating: 50
'Dyslexicon', rating: 95
'Dyslexiflux', rating: 60
'Dysmorphia', rating: 50
'Echelonix', rating: 60
'Echolalia', rating: 60
'Excludeon', rating: 60
'Exclusionatrix', rating: 70
'Exclusionix', rating: 30
'Fimbulfly', rating: 50
'Flargle', rating: 40
'Flargleplop', rating: 5
'Flarglepunk', rating: 25
'Flarpitude', rating: 25
'Flarpity', rating: 25
'Flarpness', rating: 18
'Flibberdejibbet', rating: 40
'Flibberdejibit', rating: 5
'Flibberjibit', rating: 18
'Flibberjibitism', rating: 10
'flibberjism', rating: 60
'Flibloom', rating: 30
'Flibulitis', rating: 30
'Flibulosity', rating: 30
'Flibulous', rating: 30
'Flibulux', rating: 10
'Flimbulux', rating: 5
'Flimflam', rating: 25
'Flimflamery', rating: 50
'Flimflamism', rating: 10
'Flimflamity', rating: 10
'Flish', rating: 25
'Flishm', rating: 25
'Flishma', rating: 25
'Flishmack', rating: 18
'Flishmacken', rating: 5
'Flishman', rating: 40
'Flishmangle', rating: 30
'Flishmanic', rating: 30
'Flishmarg', rating: 5
'Flishmargle', rating: 25
'Flishmash', rating: 25
'Flishmire', rating: 25
'Flishmish', rating: 10
'Flishmister', rating: 25
'Flishmonger', rating: 25
'Flishmongering', rating: 10
'Flishmorphism', rating: 30
'Flishmort', rating: 10
'Flishmung', rating: 25
'Flishmush', rating: 10
'Flishy', rating: 10
'Floogularity', rating: 40
'Floopen', rating: 20
'Floopenheim', rating: 50
'Floopenheimer', rating: 40
'Floopenosity', rating: 10
'Floopenstein', rating: 0
'Floopity', rating: 25
'Flooster', rating: 22
'Florple', rating: 25
'Flumplen', rating: 25
'Flumplenax', rating: 20
'Flumpleness', rating: 20
'Flumplenook', rating: 25
'Flumplenux', rating: 20
'Flux capacitor', rating: 5
'Fluxion', rating: 40
'Fluxional', rating: 40
'Fluxionary', rating: 25
'Fluxionism', rating: 60
'Fluxionist', rating: 50
'Fluxxim', rating: 10
'Fluxximander', rating: 30
'Fluxximism', rating: 30
'Fluxximorph', rating: 40
'Fluxximorphic', rating: 30
'Fluxximus', rating: 30
'Fluxxion', rating: 30
'Fluxxism', rating: 60
'Fluxxist', rating: 60
'Fluxxle', rating: 40
'Glibble', rating: 10
'Glibblebility', rating: 10
'Glibbleblop', rating: 30
'Glibblebop', rating: 5
'Glibblebork', rating: 25
'Glibbleglorp', rating: 5
'Glibblephobe', rating: 10
'Glibblephobia', rating: 30
'Gliblart', rating: 60
'Gliblert', rating: 5
'Gliblery', rating: 30
'Gliblism', rating: 50
'Gliblometry', rating: 10
'Gliblomp', rating: 10
'Glibloom', rating: 40
'Glibloomination', rating: 30
'Glibloop', rating: 25
'Gliblorn', rating: 10
'Gliblort', rating: 10
'Gliblortex', rating: 40
'Glintism', rating: 40
'Glintzen', rating: 30
'Glitterism', rating: 80
'Glitterstorm', rating: 5
'Glitzen', rating: 30
'Glorble', rating: 90
'glorblort', rating: 10
'Glorp', rating: 50
'Glorpification', rating: 40
'Glorpify', rating: 5
'Glorpity', rating: 30
'Groggle', rating: 80
'Groobly', rating: 60
'Inaccessiblifier', rating: 60
'Inaccessify', rating: 60
'Incapacitation', rating: 60
'Incapacitator', rating: 60
'Incapacitor', rating: 50
'Incapacitrix', rating: 80
'Incapacitron', rating: 90
'Incapazoid', rating: 60
'Includify', rating: 90
'Includinator', rating: 90
'Includix', rating: 40
'Includrox', rating: 90
'Inclusivator', rating: 90
'Inclusivex', rating: 95
'Inclusivisor', rating: 90
'Inclusivity', rating: 95
'Inclusivitynator', rating: 85
'Inclusivityvoider', rating: 90
'Inclusivix', rating: 90
'Incluxion', rating: 60
'Invalidite', rating: 90
'Jargle', rating: 30
'Jargleism', rating: 40
'Jargleplex', rating: 10
'Jargleplop', rating: 10
'Jarglepox', rating: 10
'Jarglepunk', rating: 15
'Jarglepuss', rating: 10
'Jargonify', rating: 60
'Jargonista', rating: 60
'Jinkle', rating: 10
'Jinklethorpe', rating: 10
'Jinklewiff', rating: 5
'Kabloing', rating: 5
'Kabloinga', rating: 35
'Kablooie', rating: 5
'Kaleekin', rating: 50
'Kaleekinesis', rating: 30
'Kaleidoraxis', rating: 40
'Kaleidoscopophobia', rating: 60
'Klabberjinx', rating: 0
'Klaxis', rating: 40
'Klazine', rating: 40
'Klazure', rating: 25
'Klazzit', rating: 5
'Klazzitron', rating: 5
'Klazzle', rating: 40
'Klazzlepity', rating: 25
'Klazzleplop', rating: 5
'Klazzlepunk', rating: 5
'Klompify', rating: 10
'Klompist', rating: 10
'Klompity', rating: 25
'Klompix', rating: 5
'Klompkined', rating: 0
'Klompnost', rating: 35
'Kludge', rating: 40
'Kludgeable', rating: 30
'Kludgegeist', rating: 30
'Kludgeist', rating: 50
'Kludgemeister', rating: 15
'Kludgemorphic', rating: 40
'Kludgen', rating: 22
'Kludgeness', rating: 30
'Kludgeocracy', rating: 40
'Kludgeon', rating: 40
'Kludgery', rating: 50
'Kludgeworthy', rating: 30
'Kludgey', rating: 30
'Kludgification', rating: 30
'Kludgify', rating: 40
'Kludginess', rating: 60
'Kludgism', rating: 60
'Kludgit', rating: 70
'Kludgitude', rating: 40
'Kludgity', rating: 30
'Klutzian', rating: 40
'Klutzificationist', rating: 40
'Klutzism', rating: 40
'Kluzification', rating: 40
'Kluzify', rating: 25
'Kluznik', rating: 40
'Kluznix', rating: 15
'Krintle', rating: 25
'Krunklepax', rating: 25
'Mindstigmaton', rating: 80
'Nebulon', rating: 20
'Nebulonix', rating: 30
'Nebulonorm', rating: 60
'Nebulonormative', rating: 80
'Nebulonormativity', rating: 60
'Nebulox', rating: 40
'Nebulux', rating: 25
'Nebuluxion', rating: 30
'Neurobendy', rating: 50
'Neurobility', rating: 40
'Neurobix', rating: 50
'Neuroblast', rating: 60
'Neurobloat', rating: 60
'Neurobloom', rating: 40
'Neuroblop', rating: 40
'Neurobop', rating: 40
'Neurobore', rating: 40
'Neurobux', rating: 40
'Neurobuxle', rating: 10
'Neurocentric', rating: 80
'Neurodivergentphobe', rating: 80
'Neurodiverse', rating: 80
'Neurodiversephobe', rating: 90
'Neurodiversephobia', rating: 80
'Neurodiversephobic', rating: 90
'Neurodiversity', rating: 90
'Neurodivine', rating: 80
'Neurofizzle', rating: 30
'Neuroflail', rating: 60
'Neuroflax', rating: 80
'Neuroflazzle', rating: 40
'Neuroflex', rating: 50
'Neuroflexion', rating: 60
'Neuroflicker', rating: 40
'Neuroflop', rating: 40
'Neuroflux', rating: 60
'Neurofluxion', rating: 30
'Neurofluxx', rating: 25
'Neurofobic', rating: 80
'Neurofop', rating: 30
'Neurofrazz', rating: 60
'Neurofrazzle', rating: 40
'Neurofuzz', rating: 50
'Neurolux', rating: 60
'Neurominx', rating: 30
'Neuromorphix', rating: 50
'Neurophobe', rating: 80
'Neurophobic', rating: 80
'Neuroplastic', rating: 80
'Neuroptic', rating: 50
'Neuroslant', rating: 50
'Neurospark', rating: 60
'Neurosparkle', rating: 40
'Neurostic', rating: 80
'Neurostigma', rating: 80
'Neurostigmatic', rating: 60
'Neurostix', rating: 25
'Neurostrix', rating: 40
'Neurotic', rating: 60
'Neuroticism', rating: 80
'Neurotypia', rating: 80
'Neurotypic', rating: 60
'Neurotypix', rating: 80
'Normatist', rating: 60
'Normativia', rating: 80
'Normify', rating: 60
'Phobostrophe', rating: 60
'Psychalixir', rating: 30
'Psychobabble', rating: 40
'Psycholixir', rating: 30
'Psycholux', rating: 30
'Psycholuxe', rating: 60
'Psychoplasm', rating: 30
'Psychoreactive', rating: 60
'Psychoregressive', rating: 40
'Psychorestrictive', rating: 50
'Psychosnob', rating: 10
'Psychosocialism', rating: 80
'Psychovector', rating: 45
'Quizzle', rating: 30
'Quizzlethorn', rating: 30
'Quizzlethorpe', rating: 5
'Quizzlewhack', rating: 25
'Sanism', rating: 80
'Sanismorph', rating: 10
'Sanist', rating: 70
'Scribblemind', rating: 40
'Scribblism', rating: 80
'Scribulous', rating: 40
'Sensorysupremacism', rating: 60
'Sensoryx', rating: 50
'Sensoryxen', rating: 60
'Sensoryxist', rating: 90
'Snaarlitude', rating: 40
'Snable', rating: 40
'Snabletude', rating: 15
'Snaznorf', rating: 25
'Snazzle', rating: 12
'Snazzlefrazz', rating: 30
'Snecklism', rating: 15
'Snedrify', rating: 15
'Snergilism', rating: 15
'Snerglistic', rating: 15
'Snizzle', rating: 25
'Snizzlefraze', rating: 18
'Snizzlethorpe', rating: 30
'Snoozle', rating: 5
'Snoozlism', rating: 15
'Snurfication', rating: 15
'Snurfle', rating: 15
'Snurfleism', rating: 15
'Snurflemania', rating: 10
'Snurflepunk', rating: 15
'Sonderlust', rating: 30
'Spectaculon', rating: 30
'Spectivism', rating: 80
'Spectrabalist', rating: 10
'Spectrablind', rating: 40
'Spectracular', rating: 25
'Spectraphobe', rating: 50
'Spectravore', rating: 30
'Spectraxle', rating: 25
'Spectrify', rating: 30
'Spectrocentric', rating: 60
'Spectrocentrism', rating: 80
'Splatism', rating: 40
'Splatist', rating: 80
'Splatitudinal', rating: 40
'Splatypus', rating: 25
'Splendifer', rating: 30
'Splendiferous', rating: 60
'Splendiferousness', rating: 40
'Splenkadoodle', rating: 5
'Splorg', rating: 15
'Splorgle', rating: 25
'Splorgon', rating: 5
'Splork', rating: 5
'Splorkian', rating: 30
'Splorkism', rating: 30
'Splorkle', rating: 30
'Squibble', rating: 25
'Squirrelistic', rating: 15
'Stereotyper', rating: 90
'Thixotropy', rating: 80
'Whimble', rating: 25
'Whimsify', rating: 30
'Whimsywhack', rating: 18
'Wuggle', rating: 40
'Wugglelux', rating: 15
'Wugglepants', rating: 30
'Wuggleplex', rating: 25
'Wuggleplop', rating: 18
'Wugglethorpe', rating: 50
'Wugglewhump', rating: 5
'Wugglewump', rating: 50
'Zhilak', rating: 30
'Zhilakai', rating: 30
'Zhilakism', rating: 30
'Zhilaklep', rating: 50
'Zhilakon', rating: 30
'Zinglewiff', rating: 10
'Zingpocket', rating: 18
'Zlorg', rating: 0
'Zlorgification', rating: 5
'Zlorglepunk', rating: 0
'Zlorgon', rating: 5
'Zorblort', rating: 5
'Zortlepunk', rating: 5
'Zorvath', rating: 5
'zymurplex', rating: 25
